toulouse
0
100
//distance	nb noeud atteint	temps
7867.2554	6356	222
8905.601	5789	171
2624.396	396	151
7324.6094	2323	135
9735.333	8101	143
6182.011	4884	133
6203.3633	1424	146
6417.565	3444	122
3891.031	1083	126
1072.4093	38099	171
7547.1055	3072	160
3040.1013	592	120
1277.9724	523	119
4025.5447	1803	124
7260.307	4520	124
2396.6348	989	128
6499.3887	6067	132
5625.651	2430	133
5264.875	2110	146
7046.3984	2535	120
4126.955	997	119
3053.3167	1112	120
5986.633	802	119
7421.107	3262	121
5458.481	2891	121
759.23035	53	119
9552.248	6475	145
2068.7134	558	119
8987.048	7100	99
2962.0786	916	97
7715.6523	4056	98
6748.0347	3424	97
13299.02	12888	103
8638.867	6856	101
4636.9033	1631	97
3932.1853	1679	111
3956.2449	863	108
2205.2148	493	107
11641.499	10644	110
4859.824	1389	102
7373.5522	5114	104
7307.9023	4336	105
3217.2688	1080	212
7872.8105	5620	99
4615.864	1191	96
6582.095	2559	96
3199.168	445	97
10621.6	8419	99
2418.289	282	99
4900.615	2100	96
11350.38	7108	103
3408.3577	741	95
7857.825	3580	98
4417.657	1621	96
11045.7295	5940	98
4468.1235	2012	96
925.5468	80	96
6842.5303	3861	97
7411.5337	2110	109
13541.8	12477	102
4956.2153	2078	98
2648.7158	527	98
7622.923	2707	97
7843.8003	4537	101
5431.315	4711	97
5904.21	1940	98
6310.3457	1346	96
2858.1785	38049	115
2558.6726	553	96
5331.518	3449	98
7954.0386	6214	98
7126.7983	4934	99
9755.119	7467	101
8195.265	5954	99
5468.2007	4553	102
5875.4536	1964	101
7595.9976	2566	99
13873.216	10490	109
9822.959	5991	110
5348.019	1369	106
14213.505	16605	118
8260.266	3785	111
6471.6426	4867	112
3453.9365	782	111
5542.636	2660	110
12228.833	10912	105
12658.131	11465	107
8072.341	5387	104
8664.836	6481	106
6912.256	6272	107
6432.143	3772	104
2273.79	167	102
7450.7314	4767	101
6454.9326	5636	99
5054.584	2394	96
7883.9106	4849	100
5688.333	1533	99
8898.774	4623	101
7507.3057	3498	104
7089.2437	5145	101
