toulouse
0
100
//distance	nb noeud atteint	temps
3592.8044	5838	178
11252.801	36255	170
1977.1753	2965	131
5355.635	13716	95
4281.9424	13115	97
12030.206	36352	118
4455.1846	5539	122
7247.6025	11167	91
11039.507	36770	105
8371.158	23827	98
3681.5012	10942	118
3911.8176	5714	87
11658.703	27001	98
5465.4536	16976	93
8056.636	20330	95
5706.983	23703	104
7297.239	20076	102
7002.6562	22686	229
8456.24	34918	100
3954.3733	12838	90
5646.9497	10976	90
3865.1614	12481	92
10143.458	24433	100
10747.303	33223	104
1982.4003	1714	88
2997.1387	3473	101
2336.842	962	88
2962.5527	6101	89
6283.5156	23212	97
10790.943	29893	104
11078.519	27064	101
12613.929	30453	101
4814.1416	4839	87
11353.008	24051	96
7466.4854	24661	102
3200.0647	6545	95
3089.2239	1316	68
1489.198	2493	71
6279.1094	26865	80
7839.4077	18396	70
13088.098	36945	78
8612.595	31495	77
11083.437	25783	74
6068.8843	15868	70
2762.2617	6363	65
9391.517	24521	73
7473.251	26673	75
7815.755	22469	74
4545.1724	10174	68
8289.897	22341	76
4356.2734	11325	71
5636.443	13529	76
6745.0376	9820	71
3295.9553	9239	66
4523.2817	8030	65
8907.925	20600	70
6746.9478	11173	68
5614.0063	19765	70
2459.679	3991	64
9222.304	32288	77
3769.8225	3630	64
2899.118	6085	64
7755.032	22616	72
4751.504	4923	66
8055.14	21960	72
4771.0474	12531	68
12087.254	35047	79
6211.322	26430	80
3078.2478	5854	71
8834.797	15300	75
6324.4204	13760	85
5762.5825	12853	69
10066.9795	30515	75
13463.112	31365	76
7955.6123	14643	69
8740.913	13270	69
12293.989	31683	77
7153.3774	14374	67
1452.202	1499	64
1858.8755	2446	63
6066.6143	17483	70
5595.4126	8006	65
1818.5804	671	64
1512.548	813	62
4517.0635	9757	66
4535.2085	12889	68
7938.164	13049	69
2417.1743	3299	62
2882.8057	2933	64
4758.039	14293	84
7236.0073	26873	75
5862.089	23508	72
9129.624	25711	75
9168.397	30055	76
5820.502	15154	70
1577.6309	1522	63
5315.2095	7682	66
3610.944	8768	67
6763.4575	13650	68
9350.803	20892	70
