toulouse
0
100
//distance	nb noeud atteint	temps
3592.8044	656	194
11252.801	11386	166
1977.1753	710	148
5355.635	1803	124
4281.9424	1507	124
12030.206	14426	141
4455.1846	601	150
7247.6025	2717	119
11039.507	11143	127
8371.158	3990	122
3681.5012	38103	183
3911.8176	1362	119
11658.703	4787	119
5465.4536	1255	117
8056.636	2939	119
5706.983	3860	125
7297.239	1934	124
7002.6562	4175	126
8456.24	4292	142
3954.3733	2926	119
5646.9497	1312	118
3865.1614	1698	119
10143.458	8925	121
10747.303	5983	121
1982.4003	134	117
2997.1387	269	117
2336.842	367	138
2962.5527	976	118
6283.5156	3178	118
10790.943	8575	98
11078.519	6135	97
12613.929	7682	97
4814.1416	841	95
11353.008	7841	98
7466.4854	5867	100
3200.0647	1164	102
3089.2239	379	104
1489.198	706	101
6279.1094	1348	101
7839.4077	3493	102
13088.098	17038	108
8612.595	6451	103
11083.437	6779	197
6068.8843	3132	96
2762.2617	1190	94
9391.517	6095	97
7473.251	5774	97
7815.755	4089	95
4545.1724	1197	95
8289.897	5841	100
4356.2734	1660	95
5636.443	3307	96
6745.0376	1491	95
3295.9553	415	94
4523.2817	2616	95
8907.925	5519	97
6746.9478	3102	97
5614.0063	1752	95
2459.679	1038	110
9222.304	8275	99
3769.8225	1076	95
2899.118	1410	94
7755.032	3280	96
4751.504	848	95
8055.14	6149	97
4771.0474	2059	95
12087.254	11228	100
6211.322	5469	98
3078.2478	661	94
8834.797	4828	96
6324.4204	3355	96
5762.5825	2354	95
10066.9795	10527	99
13463.112	8293	98
7955.6123	5232	99
8740.913	3131	98
12293.989	9972	102
7153.3774	2231	101
1452.202	522	101
1858.8755	626	101
6066.6143	4219	101
5595.4126	1322	101
1818.5804	210	100
1512.548	355	99
4517.0635	378	114
4535.2085	2623	95
7938.164	3762	96
2417.1743	494	96
2882.8057	538	97
4758.039	2312	95
7236.0073	4009	96
5862.089	4513	96
9129.624	3997	95
9168.397	5166	97
5820.502	3709	96
1577.6309	236	95
5315.2095	679	95
3610.944	1522	95
6763.4575	1417	95
9350.803	3526	97
