toulouse
0
100
//distance	nb noeud atteint	temps
3592.8044	5838	177
11252.801	36255	168
1977.1753	2965	114
5355.635	13716	97
4281.9424	13115	98
12030.206	36352	117
4455.1846	5539	119
7247.6025	11167	93
11039.507	36770	104
8371.158	23827	97
3681.5012	10942	111
3911.8176	5714	89
11658.703	27001	98
5465.4536	16976	94
8056.636	20330	98
5706.983	23703	104
7297.239	20076	100
7002.6562	22686	258
8456.24	34918	101
3954.3733	12838	93
5646.9497	10976	91
3865.1614	12481	90
10143.458	24433	95
10747.303	33223	99
1982.4003	1714	86
2997.1387	3473	97
2336.842	962	86
2962.5527	6101	88
6283.5156	23212	95
10790.943	29893	98
11078.519	27064	97
12613.929	30453	100
4814.1416	4839	87
11353.008	24051	96
7466.4854	24661	102
3200.0647	6545	94
3089.2239	1316	69
1489.198	2493	67
6279.1094	26865	74
7839.4077	18396	69
13088.098	36945	80
8612.595	31495	77
11083.437	25783	73
6068.8843	15868	70
2762.2617	6363	66
9391.517	24521	73
7473.251	26673	74
7815.755	22469	72
4545.1724	10174	70
8289.897	22341	83
4356.2734	11325	72
5636.443	13529	75
6745.0376	9820	66
3295.9553	9239	67
4523.2817	8030	65
8907.925	20600	71
6746.9478	11173	67
5614.0063	19765	71
2459.679	3991	64
9222.304	32288	76
3769.8225	3630	64
2899.118	6085	64
7755.032	22616	73
4751.504	4923	64
8055.14	21960	72
4771.0474	12531	68
12087.254	35047	84
6211.322	26430	77
3078.2478	5854	65
8834.797	15300	69
6324.4204	13760	68
5762.5825	12853	67
10066.9795	30515	76
13463.112	31365	76
7955.6123	14643	69
8740.913	13270	69
12293.989	31683	75
7153.3774	14374	68
1452.202	1499	63
1858.8755	2446	63
6066.6143	17483	70
5595.4126	8006	66
1818.5804	671	78
1512.548	813	63
4517.0635	9757	67
4535.2085	12889	69
7938.164	13049	67
2417.1743	3299	64
2882.8057	2933	64
4758.039	14293	70
7236.0073	26873	74
5862.089	23508	72
9129.624	25711	74
9168.397	30055	75
5820.502	15154	69
1577.6309	1522	62
5315.2095	7682	65
3610.944	8768	67
6763.4575	13650	68
9350.803	20892	77
